StopID,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,x,y
19060, , ,22,not applicable,forward facing edge of pavement,sidewalk,transfer point,1478350.099155998323113,571474.045892837573774
19110, , ,"29, 47x, 59",not applicable,forward facing back of curb,sidewalk,transfer point,1480823.193947335239500,574269.828358989325352
19120, , ,"29, 47x, 59",not applicable,forward facing back of curb, ,transfer point,1481145.992842428153381,574506.962071084883064
19130, , ,"29, 47x, 59", , , , ,1481560.063536586705595,575134.899463502340950
19140,Bench, ,24,inbound,forward facing back of sidewalk,sidewalk, ,1434940.952378667658195,525119.034600418293849
19160, , ,24,inbound,forward facing edge of pavement,sidewalk, ,1435073.811036845436320,522601.208927421539556
19200, ,Shelter,24,inbound,forward facing edge of pavement, , ,1434664.000832833582535,521737.218857500993181
19210,Bench, ,24,inbound,forward facing back of sidewalk,sidewalk,transfer point,1433563.923636666033417,519836.973314160073642
19230, , ,24,outbound,forward facing back of curb,sidewalk,transfer point,1433361.035262919962406,519528.165204742806964
19240, , ,24,outbound,forward facing back of curb,sidewalk, ,1433241.171001337934285,518965.151567001943476
19250, , ,24,inbound,forward facing back of sidewalk,sidewalk, ,1433276.133529833285138,519027.092716065177228
19260, , ,24,outbound,forward facing back of curb,sidewalk, ,1433098.184738764073700,518068.420748916047160
19270,Bench, ,24,outbound,forward facing back of curb,sidewalk, ,1433028.075955086853355,517418.915158156072721
19280,Bench, ,24,inbound,forward facing edge of pavement, , ,1433062.039797924691811,517444.110973931208719
19290, , ,24,inbound,forward facing edge of pavement, , ,1432934.150946089532226,516508.872030746191740
19300, , ,24,outbound,forward facing back of curb,sidewalk, ,1432893.173993922071531,516507.835287407913711
19310, , ,24,inbound,forward facing back of curb,sidewalk, ,1432816.902164840372279,515942.897768999100663
19320,Bench, ,24,outbound,forward facing back of curb,sidewalk, ,1432755.900974505115300,515176.008882822410669
19330, ,Shelter,24,inbound,forward facing back of sidewalk,sidewalk, ,1432847.946722173597664,515002.073207092704251
19340, , ,24,outbound,forward facing back of sidewalk,sidewalk, ,1433354.012311094440520,513291.035290569241624
19350, , ,"24, 57",inbound,forward facing back of sidewalk,sidewalk,transfer point,1433360.086445919005200,513389.929121668974403
19360, , ,24,inbound,forward facing back of curb,sidewalk, ,1433662.132101675961167,512438.108518742083106
19370, , ,24,outbound,forward facing back of curb, , ,1433627.184008844895288,512392.910774498130195
19380, , ,24,outbound,forward facing back of sidewalk,sidewalk, ,1433673.138313257833943,511792.878838080039714
19390, , ,24,inbound,forward facing back of sidewalk,sidewalk, ,1433709.068359499797225,511779.817184406390879
