StopID,x,y,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P
40,145364.000000000000000,54346.000000000000000, , ,4,inbound,rear facing back of curb,sidewalk,transfer point
120,142412.899999999994179,53505.000000000000000, , ,235,outbound,forward facing back of curb,sidewalk, 
126,142380.799999999988358,53620.199999999997090, , ,235,inbound,forward facing back of curb,sidewalk, 
127,142385.799999999988358,53657.500000000000000, , ,235,outbound,forward facing back of curb,sidewalk, 
140,142411.500000000000000,53501.800000000002910, , ,235,inbound,forward facing edge of pavement, , 
160,147722.100000000005821,53431.699999999997090,Bench, ,"221, 9",inbound,forward facing back of sidewalk,sidewalk, 
170,147921.700000000011642,53350.099999999998545, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, 
180,147932.299999999988358,53341.599999999998545, ,Shelter,"221, 40x, 46x, 9",outbound,forward facing back of curb,sidewalk, 
183,147124.700000000011642,57383.400000000001455, , ,50,not applicable,other,sidewalk, 
200,146086.500000000000000,56161.599999999998545, , ,22,inbound,forward facing back of curb, , 
210,148093.899999999994179,53338.099999999998545, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, 
230,148177.600000000005821,53324.199999999997090, , ,"221, 40x, 46x, 9",outbound,rear facing back of sidewalk,sidewalk, 
240,148157.500000000000000,53333.300000000002910, , ,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, 
250,148284.899999999994179,53313.400000000001455, , ,"221, 40x, 46x, 9",outbound,forward facing back of sidewalk,sidewalk, 
260,148285.500000000000000,53320.599999999998545, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk, 
270,148379.000000000000000,53310.300000000002910, ,Shelter,"221, 40x, 46x, 9",inbound,forward facing back of sidewalk,sidewalk,transfer point
280,148365.000000000000000,53304.400000000001455, , ,221,outbound,forward facing back of sidewalk,sidewalk,transfer point
285,148495.700000000011642,53363.500000000000000,Bench, ,"3, 40x, 46x, 9",not applicable,forward facing back of curb,sidewalk,transfer point
300,148674.600000000005821,53395.699999999997090, , ,46x,outbound,forward facing back of sidewalk,sidewalk, 
320,148965.799999999988358,53499.900000000001455, , ,46x,outbound,forward facing back of sidewalk,sidewalk, 
330,149239.899999999994179,53584.500000000000000, , ,46x,outbound,forward facing back of sidewalk,sidewalk, 
